DateID,Date,Year,Month,Quarter
1,2024-08-04,2024,August,Q3
2,2025-01-25,2025,January,Q1
3,2025-02-04,2025,February,Q1
4,2025-05-13,2025,May,Q2
5,2025-03-04,2025,March,Q1
6,2024-11-16,2024,November,Q4
7,2025-04-05,2025,April,Q2
8,2024-12-07,2024,December,Q4
9,2024-08-13,2024,August,Q3
10,2025-05-14,2025,May,Q2
11,2024-08-11,2024,August,Q3
12,2025-05-20,2025,May,Q2
13,2025-05-31,2025,May,Q2
14,2025-01-28,2025,January,Q1
15,2024-10-11,2024,October,Q4
16,2024-09-03,2024,September,Q3
17,2024-11-07,2024,November,Q4
18,2024-07-10,2024,July,Q3
19,2025-04-15,2025,April,Q2
20,2025-03-22,2025,March,Q1
21,2024-11-15,2024,November,Q4
22,2024-12-12,2024,December,Q4
23,2025-05-20,2025,May,Q2
24,2025-03-01,2025,March,Q1
25,2024-12-02,2024,December,Q4
26,2025-02-02,2025,February,Q1
27,2025-04-16,2025,April,Q2
28,2024-06-28,2024,June,Q2
29,2025-01-27,2025,January,Q1
30,2024-10-10,2024,October,Q4
31,2025-03-28,2025,March,Q1
32,2025-05-27,2025,May,Q2
33,2024-07-23,2024,July,Q3
34,2025-06-07,2025,June,Q2
35,2024-11-16,2024,November,Q4
36,2024-11-22,2024,November,Q4
37,2024-12-19,2024,December,Q4
38,2024-06-19,2024,June,Q2
39,2025-05-04,2025,May,Q2
40,2025-05-07,2025,May,Q2
41,2025-05-28,2025,May,Q2
42,2024-11-27,2024,November,Q4
43,2024-12-30,2024,December,Q4
44,2025-03-22,2025,March,Q1
45,2025-05-15,2025,May,Q2
46,2024-08-25,2024,August,Q3
47,2025-05-27,2025,May,Q2
48,2024-09-07,2024,September,Q3
49,2024-09-30,2024,September,Q3
50,2024-08-12,2024,August,Q3
51,2024-10-12,2024,October,Q4
52,2025-03-14,2025,March,Q1
53,2025-01-30,2025,January,Q1
54,2025-05-04,2025,May,Q2
55,2024-06-15,2024,June,Q2
56,2024-06-25,2024,June,Q2
57,2024-10-06,2024,October,Q4
58,2025-01-31,2025,January,Q1
59,2024-12-08,2024,December,Q4
60,2025-03-04,2025,March,Q1
61,2024-11-08,2024,November,Q4
62,2024-08-01,2024,August,Q3
63,2025-01-15,2025,January,Q1
64,2024-12-23,2024,December,Q4
65,2025-05-13,2025,May,Q2
66,2024-07-05,2024,July,Q3
67,2025-05-07,2025,May,Q2
68,2025-02-19,2025,February,Q1
69,2025-05-25,2025,May,Q2
70,2024-12-05,2024,December,Q4
71,2025-03-10,2025,March,Q1
72,2024-10-15,2024,October,Q4
73,2024-06-09,2024,June,Q2
74,2025-03-22,2025,March,Q1
75,2025-04-06,2025,April,Q2
76,2024-10-29,2024,October,Q4
77,2025-01-04,2025,January,Q1
78,2025-03-03,2025,March,Q1
79,2025-02-15,2025,February,Q1
80,2024-08-29,2024,August,Q3
81,2024-12-25,2024,December,Q4
82,2025-02-01,2025,February,Q1
83,2024-11-16,2024,November,Q4
84,2024-10-05,2024,October,Q4
85,2024-07-21,2024,July,Q3
86,2024-11-10,2024,November,Q4
87,2025-02-28,2025,February,Q1
88,2024-09-05,2024,September,Q3
89,2024-12-15,2024,December,Q4
90,2024-07-02,2024,July,Q3
91,2025-02-11,2025,February,Q1
92,2024-06-26,2024,June,Q2
93,2024-11-01,2024,November,Q4
94,2024-07-02,2024,July,Q3
95,2025-02-19,2025,February,Q1
96,2025-01-08,2025,January,Q1
97,2024-09-06,2024,September,Q3
98,2024-12-24,2024,December,Q4
99,2024-06-19,2024,June,Q2
100,2025-01-06,2025,January,Q1
101,2024-12-24,2024,December,Q4
102,2025-01-18,2025,January,Q1
103,2025-01-13,2025,January,Q1
104,2025-06-05,2025,June,Q2
105,2025-04-02,2025,April,Q2
106,2024-07-07,2024,July,Q3
107,2024-09-18,2024,September,Q3
108,2024-07-12,2024,July,Q3
109,2024-08-02,2024,August,Q3
110,2024-11-03,2024,November,Q4
111,2025-04-17,2025,April,Q2
112,2025-02-14,2025,February,Q1
113,2025-03-25,2025,March,Q1
114,2025-04-28,2025,April,Q2
115,2024-11-12,2024,November,Q4
116,2025-06-05,2025,June,Q2
117,2024-07-29,2024,July,Q3
118,2024-08-29,2024,August,Q3
119,2025-02-03,2025,February,Q1
120,2025-01-05,2025,January,Q1
121,2024-12-13,2024,December,Q4
122,2024-06-25,2024,June,Q2
123,2024-10-23,2024,October,Q4
124,2024-10-22,2024,October,Q4
125,2024-12-09,2024,December,Q4
126,2025-03-21,2025,March,Q1
127,2025-04-30,2025,April,Q2
128,2024-11-03,2024,November,Q4
129,2024-07-03,2024,July,Q3
130,2025-04-17,2025,April,Q2
131,2024-08-27,2024,August,Q3
132,2024-10-12,2024,October,Q4
133,2024-09-28,2024,September,Q3
134,2025-01-06,2025,January,Q1
135,2024-11-02,2024,November,Q4
136,2024-12-30,2024,December,Q4
137,2025-02-01,2025,February,Q1
138,2024-10-02,2024,October,Q4
139,2025-02-06,2025,February,Q1
140,2025-05-11,2025,May,Q2
141,2024-09-23,2024,September,Q3
